Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.32,-117.5,2004-07-18,Mountain Goat,1,1,Female,ADULT,Highway,18/07/2004,467100,5685920
Glacier National Park,51.32,-117.5,2004-07-18,Mountain Goat,1,0,FEMALE,UNKNOWN,Highway,18/07/2004,466690,5685901
Glacier National Park,51.24,-117.6,2004-08-06,Black Bear,1,0,MALE,ADULT,Highway,6/8/2004,455312,5677172
Glacier National Park,51.33,-117.5,2004-09-07,Mountain Goat,1,1,FEMALE,ADULT,Highway,7/9/2004,467680,5686111
Glacier National Park,51.26,-117.6,2004-10-03,Mountain Goat,2,0,Unknown,UNKNOWN,Highway,3/10/2004,459450,5678550
Glacier National Park,51.26,-117.6,2005-07-11,Mountain Goat,1,0,Female,YLY,Highway,11/7/2005,459880,5678840
Glacier National Park,51.32,-117.5,2005-07-13,Mountain Goat,1,1,Female,ADULT,Highway,13/07/2005,467100,5685920
Glacier National Park,51.33,-117.5,2005-07-13,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,13/07/2005,467680,5686111
Glacier National Park,51.45,-117.5,2005-10-09,Mountain Goat,1,1,Female,ADULT,Highway,9/10/2005,466770,5699910
Glacier National Park,51.32,-117.5,2006-06-24,Mountain Goat,1,0,UNKNOWN,YOY,Highway,24/06/2006,467113,5685960
Glacier National Park,51.33,-117.5,2006-09-09,Mountain Goat,1,0,Unknown,UNKNOWN,Highway,9/9/2006,467680,5686111
Glacier National Park,51.23,-117.7,2006-09-14,Black Bear,1,0,Unknown,UNKNOWN,Railway,14/09/2006,452945,5675390
Glacier National Park,51.32,-117.5,2006-10-17,Mountain Goat,1,0,FEMALE,YOY,Highway,17/10/2006,467113,5685960
Glacier National Park,51.46,-117.5,2006-10-21,Grizzly Bear,1,0,Unknown,YOY,Railway,21/10/2006,465835,5701608
